ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,Distance,Stream,Species,Sex,lat_Location,long_Location,accuracy_Location,UTM_Northing_Location,UTM_Easting_Location,UTM_Zone_Location,Notes,15_Photo,Type,Carcass_Location,Predation,Length_Inches,Width_Inches,Carcass_Age,Spawning_Success,Adipose_Fin,Activity
10cc070b-6d63-4302-abaf-a2a0461f602a,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T19:21:50.042Z,2022-12-10T21:18:37.000Z,"0 Chum Dead",0,"Piper's Creek",Chum,Male,47.711571,-122.380071,10,5284429,546501,10T,,,Dead,"Outside of creek",Yes,25,5,"Greater than 24 hours","Partially spawned",,
208331e6-db61-4530-a947-5b2eefb09e6a,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T19:03:56.379Z,2022-12-10T19:37:35.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Female,47.711251,-122.373882,6,5284397,546965,10T,"Found way up bank",,Dead,"Outside of creek",Yes,,,"Greater than 24 hours",Unknown,,
d58d9b82-cedb-4b2d-bcd0-eac94668b3d2,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T19:03:23.473Z,2022-12-10T21:18:36.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Female,47.711079,-122.37383,10,5284378,546969,10T,,,Dead,"In creek",No,22,5,"Greater than 24 hours",Spawned,,
e46f433f-6350-46b8-b895-32061ca72501,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T19:03:11.569Z,2022-12-10T19:37:32.000Z,"1420 Coho Dead",1420,"Piper's Creek",Coho,Unknown,47.711212,-122.373925,10,5284393,546962,10T,,,Dead,"Outside of creek",Yes,,,,Unknown,,
7869b4e1-6e4c-4664-9c7a-5edea62ccffc,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T19:01:40.731Z,2022-12-10T21:18:34.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Female,47.711076,-122.37385,5,5284378,546968,10T,,,Dead,"In creek",No,25,4,"Greater than 24 hours",Spawned,,
23762482-2b7f-426c-bdc9-21eb8899cde1,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T19:01:39.587Z,2022-12-10T19:01:43.000Z,"900 Chum Live",900,"Piper's Creek",Chum,Unknown,47.711235,-122.37417,15,5284395,546943,10T,,,Live,,,,,,,,
0c55ab8e-2dde-4100-9d26-76294ec0fc4a,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T19:00:45.969Z,2022-12-10T21:18:32.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Male,47.711048,-122.373891,4,5284375,546965,10T,,,Dead,"In creek",No,27,5.5,"Greater than 24 hours",Spawned,,
cf463799-b3f4-46f4-ad32-32ede9f54667,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:58:57.023Z,2022-12-10T21:18:30.000Z,"1365 Chum Dead",1365,"Piper's Creek",Chum,Male,47.711055,-122.373869,7,5284375,546966,10T,,,Dead,"In creek","Eye loss",23,5,"Greater than 24 hours","Partially spawned",,
c5b330d3-2e3f-4e56-97fe-fd1cfba466df,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:58:51.981Z,2022-12-10T19:01:18.000Z,"1370 Chum Dead",1370,"Piper's Creek",Chum,Male,47.71131,-122.374432,11,5284403,546924,10T,,,Dead,"In creek",Yes,22.5,4.5,"Greater than 24 hours","Partially spawned",,
79263cba-d261-4395-98b7-b7ed7df42efa,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:57:05.288Z,2022-12-10T21:18:28.000Z,"1420 Chum Dead",1420,"Piper's Creek",Chum,Female,47.711032,-122.373822,9,5284373,546970,10T,,,Dead,"In creek",No,23.5,4.5,"Greater than 24 hours",Spawned,,
5eb1e1a4-ace5-4da3-a28d-40bceb4bad02,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:57:03.345Z,2022-12-10T19:01:15.000Z,"1300 Chum Dead",1300,"Piper's Creek",Chum,Female,47.711325,-122.374459,5,5284405,546922,10T,,,Dead,"In creek",Yes,25,,,Unknown,,
497aa89d-ea83-44fb-b59e-fa4af7a43614,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:54:20.817Z,2022-12-10T21:18:27.000Z,"1450 Chum Dead",1450,"Piper's Creek",Chum,Female,47.711099,-122.373853,11,5284380,546967,10T,,,Dead,"In creek",No,24,4,"Greater than 24 hours",Spawned,,
f4f1b5e8-9840-4a7f-9321-09fe9b24042e,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:53:49.939Z,2022-12-10T19:01:13.000Z,"1300 Chum Dead",1300,"Piper's Creek",Chum,Female,47.711342,-122.37439,14,5284407,546927,10T,,,Dead,"In creek","Eye loss",20.5,4.5,"Greater than 24 hours","Partially spawned",,
ba7318d5-2449-4d61-8d11-c9f83ccdb9c6,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:52:04.142Z,2022-12-10T21:18:25.000Z,"1460 Chum Dead",1460,"Piper's Creek",Chum,Female,47.711012,-122.373676,5,5284371,546981,10T,,,Dead,"In creek","Eye loss",22.5,4.25,"Greater than 24 hours",Spawned,,
569bfbd8-f78d-4d27-b2e1-ed1e57fe07c3,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:45:21.017Z,2022-12-10T21:18:23.000Z,"1498 Chum Dead",1498,"Piper's Creek",Chum,Female,47.711082,-122.373215,4,5284379,547015,10T,,,Dead,"In creek","Eye loss",25,4.25,"Greater than 24 hours",Spawned,,
e46690ec-0aba-4f19-ab38-34cf32f5a2b6,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:43:16.820Z,2022-12-10T21:18:21.000Z,"1595 Chum Dead",1595,"Piper's Creek",Chum,Female,47.711099,-122.37303,6,5284381,547029,10T,,,Dead,"In creek","Eye loss",23.5,4,"Greater than 24 hours",Spawned,,
a947ce67-4f1d-49ed-b596-40fa7b7dd35d,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:41:29.076Z,2022-12-10T21:18:20.000Z,"1620 Chum Dead",1620,"Piper's Creek",Chum,Male,47.711047,-122.372933,11,5284375,547036,10T,,,Dead,"In creek","Eye loss",24.5,5,"Greater than 24 hours",Spawned,,
bb9ef86b-8b6d-4343-a703-0cd6e9b761b3,a575ac44-c6b8-4fe9-bf18-46dbbf966267,2022-12-10T18:39:42.758Z,2022-12-10T21:18:18.000Z,"1660 Chum Dead",1660,"Piper's Creek",Chum,Female,47.711069,-122.372896,6,5284377,547039,10T,,,Dead,"In creek",Yes,25,4.5,"Greater than 24 hours",Unknown,,
2b68260d-30e1-4811-adef-8f7c72c3d940,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:39:08.019Z,2022-12-10T19:01:10.000Z,"720 Chum Dead",720,"Piper's Creek",Chum,Male,47.711459,-122.376618,5,5284419,546760,10T,,,Dead,"On creek bank","Eye loss",25,5,"Greater than 24 hours",Unspawned,,
f7dcd330-cc5f-45de-a643-abe6022aeb54,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:36:59.318Z,2022-12-10T19:01:09.000Z,"630 Chum Dead",630,"Piper's Creek",Chum,Male,47.711545,-122.376954,5,5284428,546734,10T,,,Dead,"In creek",No,23.5,5,"Greater than 24 hours",Spawned,,
ce362791-7202-48db-bee6-bd67091fb0c6,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:35:24.169Z,2022-12-10T19:01:06.000Z,"638 Chum Dead",638,"Piper's Creek",Chum,Female,47.711541,-122.377008,18,5284427,546730,10T,,,Dead,"In creek","Eye loss",25,4,"Greater than 24 hours",Spawned,,
306afe49-be52-4f12-a0f6-3fdf6ddb25c7,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:32:29.659Z,2022-12-10T19:01:04.000Z,"590 Chum Dead",590,"Piper's Creek",Chum,Female,47.711611,-122.37708,4,5284435,546725,10T,,,Dead,"In creek",Yes,24,,"12-24 hours",Unknown,,
24356ecf-be6e-49d5-8326-8339db61f831,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:31:47.806Z,2022-12-10T19:01:02.000Z,"600 Chum Dead",600,"Piper's Creek",Chum,Male,47.711609,-122.377067,4,5284435,546726,10T,,,Dead,"In creek",No,25,6,"Greater than 24 hours","Partially spawned",,
28446274-0e1d-4cff-b809-7da166531481,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:27:35.399Z,2022-12-10T19:01:00.000Z,"550 Chum Dead",550,"Piper's Creek",Chum,Male,47.7116,-122.377204,6,5284434,546716,10T,,,Dead,"Outside of creek",Yes,23,5.5,"Greater than 24 hours",Spawned,,
87b6cc47-b079-4ea5-a3f8-24525573912c,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:18:07.282Z,2022-12-10T19:00:58.000Z,"430 Chum Dead",430,"Piper's Creek",Chum,Female,47.711713,-122.377758,5,5284446,546674,10T,,,Dead,"In creek","Eye loss",24,4.5,"Greater than 24 hours",Spawned,,
bf4953bb-d706-47e6-b1ac-ece56496d0cb,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:16:22.068Z,2022-12-10T19:00:56.000Z,"400 Chum Dead",400,"Piper's Creek",Chum,Female,47.711711,-122.377772,5,5284446,546673,10T,,,Dead,"In creek",No,23,4.5,"Greater than 24 hours",Spawned,,
0564f900-2bc0-40d9-a046-3ddc753ea64d,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T18:12:58.010Z,2022-12-10T19:00:53.000Z,"400 Chum Dead",400,"Piper's Creek",Chum,Female,47.7117,-122.377781,4,5284445,546672,10T,,,Dead,"In creek",Yes,23,5,"Greater than 24 hours",Spawned,,
865e84d8-4b7c-4201-97c2-d77370e68dba,9e9e8f02-0701-4042-aa5e-fa7ef6e26d53,2022-12-10T18:02:37.137Z,2022-12-10T21:08:57.000Z,"80 Chum Dead",80,"Piper's Creek",Chum,Female,47.711753,-122.37889,5,5284450,546589,10T,,,Dead,"In creek","Eye loss",24,4.5,"Greater than 24 hours",Spawned,,
7e30eda7-00f4-45f3-8e7c-145e099b976b,9e9e8f02-0701-4042-aa5e-fa7ef6e26d53,2022-12-10T18:00:56.826Z,2022-12-10T21:08:55.000Z,"65 Chum Dead",65,"Piper's Creek",Chum,Female,47.711729,-122.378678,5,5284447,546605,10T,,,Dead,"In creek",No,25,5,"Greater than 24 hours",Spawned,,
4145225c-d1b7-4705-96da-4d1929a05a01,aaeba2ee-7e15-4761-8840-8932eae66e4a,2022-12-10T17:47:41.174Z,2022-12-10T19:00:51.000Z,"230 Chum Dead",230,"Piper's Creek",Chum,Male,47.711978,-122.37911,24,5284475,546572,10T,,,Dead,"In creek",No,24.5,6,"Greater than 24 hours",Spawned,,
8e6371f6-4bb2-46fc-b432-04f0dbffbc60,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:45:12.770Z,2022-12-06T19:58:38.000Z,"1430 Chum Dead",1430,"Piper's Creek",Chum,Unknown,47.711198,-122.373786,4,5284391,546972,10T,,,Dead,"In creek",Yes,,,"Greater than 24 hours",Unknown,,
00ccd819-293d-4325-98e8-c52908bef550,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:44:32.512Z,2022-12-06T19:58:36.000Z,"1435 Chum Dead",1435,"Piper's Creek",Chum,Female,47.71119,-122.373771,5,5284390,546973,10T,,,Dead,"In creek",Yes,25.5,5,"Greater than 24 hours",Unknown,,
73db6d0b-f127-4b3b-97e2-376463f01ee2,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:42:11.336Z,2022-12-06T20:08:53.000Z,"1500 Chum Dead",1500,"Piper's Creek",Chum,Female,47.711223,-122.373474,11,5284394,546996,10T,,,Dead,"In creek","Eye loss",21.25,3.75,"Greater than 24 hours",Spawned,,
ca10ce0f-6670-4353-8d48-9439c094e030,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:41:18.646Z,2022-12-06T19:58:42.000Z,"1415 Chum Dead",1415,"Piper's Creek",Chum,Female,47.711266,-122.37388,6,5284399,546965,10T,,,Dead,"In creek",No,23,4,"Greater than 24 hours",Spawned,,
680b0aa1-6320-4c1d-9e93-c289b556aafa,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:40:49.689Z,2022-12-06T19:58:34.000Z,"1450 Chum Dead",1450,"Piper's Creek",Chum,Female,47.711224,-122.373775,5,5284394,546973,10T,,,Dead,"In creek",No,25,4.5,"12-24 hours","Partially spawned",,
a39b15a3-40cd-45c8-93da-59560cd1b188,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:39:52.529Z,2022-12-18T02:55:33.000Z,"1590 Chum Dead",1590,"Piper's Creek",Chum,Male,47.711286,-122.373076,5,5284402,547025,10T,"17DEC2022 SLF Length corrected from 255 to 25.",,Dead,"In creek",No,25,5,"Greater than 24 hours",Spawned,,
4423994a-cd42-4ae8-bd59-6c76b162021a,4bc8f039-3806-4098-aa85-79d145b56cf3,2022-12-06T19:39:49.290Z,2022-12-06T19:58:39.000Z,"1410 Chum Dead",1410,"Piper's Creek",Chum,Male,47.71119,-122.373902,8,5284390,546964,10T,,,Dead,"In creek","Eye loss",23.5,4.5,"Greater than 24 hours",Spawned,,
